TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
100000000.0	88666760.0	88587548.8	88746042.0
200000000.0	167115505.0	166971811.6	167259322.1
300000000.0	237623136.9	237426548.2	237819888.4
400000000.0	301458119.8	301217438.6	301698993.2
500000000.0	359584815.8	359297265.0	359872596.7
600000000.0	412760762.5	412451524.8	413070232.0
700000000.0	461616771.2	461272884.5	461960914.2
800000000.0	506716358.0	506301599.2	507131456.6
900000000.0	548410625.6	547856282.2	548965529.9
1000000000.0	587118249.2	586344991.1	587892527.1
1100000000.0	623137431.2	622073147.5	624203535.7
1200000000.0	656762044.1	655342393.8	658184769.8
1300000000.0	688222023.3	686387880.4	690061067.4
1400000000.0	717715112.9	715411081.2	720026564.9
1500000000.0	745413943.7	742587723.5	748250920.3
1600000000.0	771475754.6	768077893.0	774888647.8
1700000000.0	796073898.8	792057685.2	800110477.0
1800000000.0	819321807.7	814643213.8	824027271.4
1900000000.0	841328082.6	835945705.9	846745114.7
2000000000.0	862188213.8	856063211.5	868357039.6
2100000000.0	881992190.9	875088200.9	888950649.7
2200000000.0	900807673.5	893090724.4	908591302.6
2300000000.0	918702252.5	910140663.5	927344379.3
2400000000.0	935754194.7	926318469.8	945286034.4
2500000000.0	952028382.8	941691101.3	962479140.3
2600000000.0	967553950.2	956289659.0	978950925.4
2700000000.0	982383473.3	970168575.4	994752162.6
2800000000.0	996572420.2	983385067.5	1009936617.4
2900000000.0	1010161595.7	995981584.5	1024543490.8
3000000000.0	1023196061.5	1008004731.5	1038616335.3
3100000000.0	1035705560.6	1019485699.6	1052183477.1
3200000000.0	1047725861.3	1030461612.4	1065279353.7
3300000000.0	1059278637.4	1040955413.4	1077924392.5
3400000000.0	1070390709.0	1050995109.6	1090144244.6
3500000000.0	1081086877.5	1060606611.5	1101962616.5
3600000000.0	1091390112.9	1069813925.1	1113401452.8
3700000000.0	1101321719.9	1078639322.9	1124481098.5
3800000000.0	1110901487.0	1087103496.7	1135220443.6
3900000000.0	1120138443.2	1095216321.2	1145627678.9
4000000000.0	1129056457.2	1103002450.9	1155725885.0
4100000000.0	1137674221.4	1110481311.8	1165533017.2
4200000000.0	1146006668.1	1117668522.0	1175063319.3
4300000000.0	1154067754.5	1124578678.1	1184330103.4
4400000000.0	1161870540.5	1131225436.6	1193345825.9
4500000000.0	1169427259.9	1137621588.5	1202122155.6
4600000000.0	1176749385.0	1143779125.7	1210670035.9
4700000000.0	1183847685.0	1149709302.1	1218999740.7
4800000000.0	1190732278.8	1155422689.5	1227120925.2
4900000000.0	1197412683.9	1160929227.6	1235042672.2
5000000000.0	1203897860.1	1166238270.5	1242773534.7
5100000000.0	1210196250.3	1171358628.7	1250321573.9
5200000000.0	1216315816.6	1176298608.0	1257694394.7
5300000000.0	1222264074.7	1181066044.3	1264899177.7
5400000000.0	1228048124.3	1185668336.8	1271942708.5
5500000000.0	1233674418.3	1190112217.3	1278831145.7
5600000000.0	1239146194.0	1194401186.1	1285567452.6
5700000000.0	1244472861.8	1198544894.5	1292160778.3
5800000000.0	1249660121.9	1202549269.7	1298616580.2
5900000000.0	1254714493.6	1206421041.9	1304941148.8
6000000000.0	1259644939.7	1210169368.3	1311143229.7
6100000000.0	1264451329.9	1213794306.6	1317222495.7
6200000000.0	1269138291.3	1217300655.4	1323183385.4
6300000000.0	1273709769.1	1220692520.9	1329029668.0
6400000000.0	1278169750.9	1223974040.2	1334765165.3
6500000000.0	1282522887.3	1227150002.5	1340394371.6
6600000000.0	1286772974.5	1230224333.7	1345920937.0
6700000000.0	1290922499.6	1233199642.8	1351347212.7
6800000000.0	1294978284.2	1236082860.4	1356679888.0
6900000000.0	1298941362.3	1238875127.2	1361919878.5
7000000000.0	1302814878.0	1241579684.7	1367070214.9
7100000000.0	1306601835.0	1244199626.8	1372133794.6
7200000000.0	1310305103.9	1246737908.2	1377113388.6
7300000000.0	1313927429.9	1249197351.8	1382011648.2
7400000000.0	1317471439.2	1251580656.0	1386831112.1
7500000000.0	1320939645.5	1253890401.6	1391574211.8
7600000000.0	1324334456.3	1256129057.6	1396243277.4
7700000000.0	1327658177.9	1258298987.7	1400840543.2
7800000000.0	1330913021.1	1260402455.4	1405368152.2
7900000000.0	1334101105.7	1262441629.2	1409828160.9
8000000000.0	1337224465.7	1264418587.6	1414222543.9
8100000000.0	1340285052.9	1266335323.8	1418553197.7
8200000000.0	1343284741.6	1268193749.7	1422821944.6
8300000000.0	1346225332.3	1269995700.1	1427030536.5
8400000000.0	1349108554.8	1271742936.3	1431180658.2
8500000000.0	1351936072.4	1273437150.1	1435273930.6
8600000000.0	1354709484.4	1275079966.8	1439311913.8
8700000000.0	1357430329.8	1276672948.6	1443296109.8
8800000000.0	1360100089.3	1278217597.4	1447227965.4
8900000000.0	1362720188.9	1279715357.9	1451108874.9
9000000000.0	1365292001.7	1281167619.8	1454940181.9
9100000000.0	1367816850.7	1282575721.1	1458723182.1
9200000000.0	1370296011.3	1283940949.7	1462459125.5
9300000000.0	1372730712.6	1285264546.1	1466149218.0
9400000000.0	1375122140.3	1286547705.6	1469794623.7
