TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
0	0	0	0
100000000.0	88675245.0	88581346.5	88769243.0
200000000.0	167122855.0	166953077.4	167292805.3
300000000.0	237624792.2	237393548.2	237856261.6
400000000.0	301442651.0	301160131.1	301725435.9
500000000.0	359539430.4	359212184.3	359866974.7
600000000.0	412675434.5	412307432.4	413043765.2
700000000.0	461486490.9	461077494.6	461895850.1
800000000.0	506468480.4	506013997.0	506923372.0
900000000.0	548076938.5	547566150.8	548588202.6
1000000000.0	586683975.6	586097979.0	587270558.0
1100000000.0	622579921.9	621891201.0	623269405.5
1200000000.0	656082604.7	655256380.3	656909870.8
1300000000.0	687404747.0	686401581.2	688409379.0
1400000000.0	716735020.9	715513500.0	717958627.3
1500000000.0	744289386.6	742808171.0	745773555.8
1600000000.0	770220240.2	768439405.0	772005202.4
1700000000.0	794646557.9	792528414.0	796770362.7
1800000000.0	817710552.8	815220137.9	820208575.6
1900000000.0	839545434.4	836650793.4	842450090.2
2000000000.0	860258395.0	856930718.1	863598994.1
2100000000.0	879884837.9	876098496.0	883687543.7
2200000000.0	898512540.1	894245042.5	902800402.9
2300000000.0	916227016.6	911458910.6	921020065.8
2400000000.0	933096621.0	927811349.8	938411999.8
2500000000.0	949179589.8	943363320.7	955031718.8
2600000000.0	964512162.1	958153597.5	970912923.8
2700000000.0	979185781.2	972275957.8	986144711.7
2800000000.0	993213716.2	985745804.3	1000738204.2
2900000000.0	1006639128.6	998608232.2	1014734610.3
3000000000.0	1019503499.3	1010906462.7	1028173647.6
3100000000.0	1031841295.3	1022676519.5	1041088201.7
3200000000.0	1043684215.0	1033951485.2	1053508560.3
3300000000.0	1055061461.1	1044761785.5	1065462675.0
3400000000.0	1065999981.4	1055135443.1	1076976389.9
3500000000.0	1076524682.8	1065098303.9	1088073643.8
3600000000.0	1086656008.5	1074671627.1	1098774035.7
3700000000.0	1096414020.2	1083876177.9	1109096895.2
3800000000.0	1105822314.5	1092736156.0	1119065187.4
3900000000.0	1114899356.1	1101270538.7	1128696837.4
4000000000.0	1123662332.3	1109496945.3	1138008574.4
4100000000.0	1132127262.1	1117431754.7	1147016032.3
4200000000.0	1140309093.4	1125090211.1	1155733838.7
4300000000.0	1148221791.2	1132486518.9	1164175696.4
4400000000.0	1155878417.0	1139633929.3	1172354455.7
4500000000.0	1163291200.7	1146544817.7	1180282180.6
4600000000.0	1170464727.8	1153223877.4	1187963331.3
4700000000.0	1177412227.1	1159684410.0	1195411045.2
4800000000.0	1184148255.0	1165941014.7	1202639818.1
